author_name,Gender,Gender Probability
Alexander V. Kononov,male,1.0
Fabio Gramazio,male,1.0
Robert Hannaford,male,1.0
Yi-Dong Shen,unknown,0.0
Xin Liu,female,0.64
Chunhui Jiang,male,0.66
Sinong Wang,female,0.5
Yingkai Li,male,0.96
Sophie Pinchinat,female,0.99
Wanqing Zhao,female,0.85
Marina De Vos,female,0.99
Mengchen Zhao,female,0.71
Elizabeth Bondi,female,1.0
Massih-Reza Amini,male,0.71
Oleg Maksimov,male,1.0
J. Ricardo Lopez-Delgado,male,1.0
Alon Cohen,male,0.96
Yuexian Hou,female,0.82
Weihao Yu,male,0.99
Bing Li,male,0.8
Filipe Pereira,male,1.0
Wei Liu,male,0.69
Thomas S. Huang,male,1.0
Yan Liu,female,0.5
Daniel Gnad,male,0.99
Hsin-Wei Hsiao,male,0.71
Nannan Wang,female,0.75
Menglei Hu,female,0.61
Srijita Das,female,0.96
Lei Zhang,female,0.53
Houqiang Li,male,1.0
Sergio Flesca,male,1.0
Hau Chan,male,1.0
Ning Xu,female,0.72
Boris Motik,male,0.99
Sutanu Chakraborti,male,0.93
Stratis Ioannidis,male,0.99
Natasha Alechina,female,0.99
Andrea Esuli,female,0.69
Yansong Feng,male,0.88
Mehrdad Farajtabar,male,0.99
Ferran Alet,female,0.9
Yi-Hsiang Chang,male,0.77
Sheng Tang,female,0.67
Yada Zhu,female,0.7
Bing Liu,male,0.8
Ruotian Luo,male,0.58
Wei Cui,male,0.69
Yanmin Zhu,female,0.67
Loris Bozzato,male,0.96
Muhao Chen,male,1.0
Jeffrey O. Kephart,male,1.0
Chau Thuan,male,0.77
Sebastian A. Scherer,male,1.0
Emma Brunskill,female,0.97
Wen-Ji Zhou,female,1.0
Egor V. Kostylev,male,0.99
Antoine Cornuéjols,male,0.99
Mrinal Rawat,male,0.95
Yuan Zhang,male,1.0
Luigi Asprino,male,0.99
Peta Masters,female,0.86
C. Maria Keet,female,0.99
Prasad Tadepalli,male,0.99
Topi Talvitie,male,0.92
Lintao Zhang,male,0.97
Hironori Yoshida,male,1.0
